"","Semana","Profundidad","Repetición","Plantas emergidas","Experimento"
"1",0,2,1,0,2
"2",0,2,2,0,2
"3",0,2,3,0,2
"4",0,2,4,0,2
"5",0,5,1,0,2
"6",0,5,2,0,2
"7",0,5,3,0,2
"8",0,5,4,0,2
"9",0,10,1,0,2
"10",0,10,2,0,2
"11",0,10,3,0,2
"12",0,10,4,0,2
"13",0,20,1,0,2
"14",0,20,2,0,2
"15",0,20,3,0,2
"16",0,20,4,0,2
"17",0,30,1,0,2
"18",0,30,2,0,2
"19",0,30,3,0,2
"20",0,30,4,0,2
"21",1,2,1,0,2
"22",1,2,2,4,2
"23",1,2,3,6,2
"24",1,2,4,1,2
"25",1,5,1,0,2
"26",1,5,2,0,2
"27",1,5,3,0,2
"28",1,5,4,0,2
"29",1,10,1,0,2
"30",1,10,2,0,2
"31",1,10,3,0,2
"32",1,10,4,0,2
"33",1,20,1,0,2
"34",1,20,2,0,2
"35",1,20,3,0,2
"36",1,20,4,0,2
"37",1,30,1,0,2
"38",1,30,2,0,2
"39",1,30,3,0,2
"40",1,30,4,0,2
"41",2,2,1,5,2
"42",2,2,2,8,2
"43",2,2,3,11,2
"44",2,2,4,5,2
"45",2,5,1,1,2
"46",2,5,2,0,2
"47",2,5,3,5,2
"48",2,5,4,0,2
"49",2,10,1,0,2
"50",2,10,2,0,2
"51",2,10,3,0,2
"52",2,10,4,0,2
"53",2,20,1,0,2
"54",2,20,2,0,2
"55",2,20,3,0,2
"56",2,20,4,0,2
"57",2,30,1,0,2
"58",2,30,2,0,2
"59",2,30,3,0,2
"60",2,30,4,0,2
"61",3,2,1,5,2
"62",3,2,2,9,2
"63",3,2,3,11,2
"64",3,2,4,5,2
"65",3,5,1,2,2
"66",3,5,2,2,2
"67",3,5,3,6,2
"68",3,5,4,3,2
"69",3,10,1,0,2
"70",3,10,2,0,2
"71",3,10,3,0,2
"72",3,10,4,0,2
"73",3,20,1,0,2
"74",3,20,2,0,2
"75",3,20,3,0,2
"76",3,20,4,0,2
"77",3,30,1,0,2
"78",3,30,2,0,2
"79",3,30,3,0,2
"80",3,30,4,0,2
"81",4,2,1,5,2
"82",4,2,2,9,2
"83",4,2,3,12,2
"84",4,2,4,5,2
"85",4,5,1,2,2
"86",4,5,2,2,2
"87",4,5,3,6,2
"88",4,5,4,3,2
"89",4,10,1,0,2
"90",4,10,2,0,2
"91",4,10,3,0,2
"92",4,10,4,0,2
"93",4,20,1,0,2
"94",4,20,2,0,2
"95",4,20,3,0,2
"96",4,20,4,0,2
"97",4,30,1,0,2
"98",4,30,2,0,2
"99",4,30,3,0,2
"100",4,30,4,0,2
"101",5,2,1,5,2
"102",5,2,2,9,2
"103",5,2,3,12,2
"104",5,2,4,5,2
"105",5,5,1,2,2
"106",5,5,2,2,2
"107",5,5,3,6,2
"108",5,5,4,3,2
"109",5,10,1,0,2
"110",5,10,2,0,2
"111",5,10,3,0,2
"112",5,10,4,0,2
"113",5,20,1,0,2
"114",5,20,2,0,2
"115",5,20,3,0,2
"116",5,20,4,0,2
"117",5,30,1,0,2
"118",5,30,2,0,2
"119",5,30,3,0,2
"120",5,30,4,0,2
"121",6,2,1,5,2
"122",6,2,2,9,2
"123",6,2,3,12,2
"124",6,2,4,5,2
"125",6,5,1,2,2
"126",6,5,2,2,2
"127",6,5,3,6,2
"128",6,5,4,3,2
"129",6,10,1,0,2
"130",6,10,2,0,2
"131",6,10,3,0,2
"132",6,10,4,0,2
"133",6,20,1,0,2
"134",6,20,2,0,2
"135",6,20,3,0,2
"136",6,20,4,0,2
"137",6,30,1,0,2
"138",6,30,2,0,2
"139",6,30,3,0,2
"140",6,30,4,0,2
