"","Rhizotron","Profundidad","Peso  bolsas vacías (g)","Peso fresco + bolsas (g)","Peso seco + bolsas (g)","Número de plantas final","Peso fresco (g)","Peso seco (g)","Peso seco aéreo por planta (g)"
"1",1,2,3.55666666666667,8.27,4.1,14,4.71333333333333,0.543333333333334,0.0388095238095238
"2",2,2,3.49666666666667,7.43,3.95333333333333,12,3.93333333333333,0.456666666666667,0.0380555555555555
"3",3,2,3.55666666666667,5.89333333333333,3.81666666666667,8,2.33666666666667,0.26,0.0325
"4",4,2,3.57333333333333,5.55,3.75,5,1.97666666666667,0.176666666666666,0.0353333333333333
"5",1,5,3.50333333333333,3.93333333333333,3.51,1,0.43,0.00666666666666638,0.00666666666666638
"6",2,5,3.53666666666667,4.29333333333333,3.55666666666667,3,0.756666666666667,0.02,0.00666666666666667
"7",3,5,3.57,4.83666666666667,3.66333333333333,5,1.26666666666667,0.0933333333333333,0.0186666666666667
"8",4,5,3.6,3.81,3.62,1,0.21,0.02,0.02
"9",1,10,0,0,0,0,0,0,0
"10",2,10,0,0,0,0,0,0,0
"11",3,10,0,0,0,0,0,0,0
"12",4,10,3.55333333333333,4.63333333333333,3.60666666666667,3,1.08,0.0533333333333337,0.0177777777777779
"13",1,20,0,0,0,0,0,0,0
"14",2,20,0,0,0,0,0,0,0
"15",3,20,0,0,0,0,0,0,0
"16",4,20,0,0,0,0,0,0,0
"17",1,30,0,0,0,0,0,0,0
"18",2,30,0,0,0,0,0,0,0
"19",3,30,0,0,0,0,0,0,0
"20",4,30,0,0,0,0,0,0,0
