"","Profundidad","Réplica","Planta","Longitud radical (cm)","Longitud aérea (cm)"
"229",4,3,9,0,0
"230",4,3,10,0,0
"231",4,4,1,0,0
"232",4,4,2,0,0
"233",4,4,3,0,0
"234",4,4,4,0,0
"235",4,4,5,0,0
"236",4,4,6,0,0
"237",4,4,7,0,0
"238",4,4,8,0,0
"239",4,4,9,0,0
"240",4,4,10,0,0
"241",4,5,1,36,3.5
"242",4,5,2,29,2.5
"243",4,5,3,29,3.5
"244",4,5,4,0,0
"245",4,5,5,0,0
"246",4,5,6,0,0
"247",4,5,7,0,0
"248",4,5,8,0,0
"249",4,5,9,0,0
"250",4,5,10,0,0
"251",4,6,1,32.5,4
"252",4,6,2,0,0
"253",4,6,3,0,0
"254",4,6,4,0,0
"255",4,6,5,0,0
"256",4,6,6,0,0
"257",4,6,7,0,0
"258",4,6,8,0,0
"259",4,6,9,0,0
"260",4,6,10,0,0
"261",4,7,1,0,0
"262",4,7,2,0,0
"263",4,7,3,0,0
"264",4,7,4,0,0
"265",4,7,5,0,0
"266",4,7,6,0,0
"267",4,7,7,0,0
"268",4,7,8,0,0
"269",4,7,9,0,0
"270",4,7,10,0,0
"271",4,8,1,0,0
"272",4,8,2,0,0
"273",4,8,3,0,0
"274",4,8,4,0,0
"275",4,8,5,0,0
"276",4,8,6,0,0
"277",4,8,7,0,0
"278",4,8,8,0,0
"279",4,8,9,0,0
"280",4,8,10,0,0
"281",4,9,1,26,3.5
"282",4,9,2,0,0
"283",4,9,3,0,0
"284",4,9,4,0,0
"285",4,9,5,0,0
"286",4,9,6,0,0
"287",4,9,7,0,0
"288",4,9,8,0,0
"289",4,9,9,0,0
"290",4,9,10,0,0
"291",4,10,1,36,3
"292",4,10,2,0,0
"293",4,10,3,0,0
"294",4,10,4,0,0
"295",4,10,5,0,0
"296",4,10,6,0,0
"297",4,10,7,0,0
"298",4,10,8,0,0
"299",4,10,9,0,0
"300",4,10,10,0,0
"301",6,1,1,42,8.5
"302",6,1,2,37,9
"303",6,1,3,0,0
"304",6,1,4,0,0
"305",6,1,5,0,0
"306",6,1,6,0,0
"307",6,1,7,0,0
"308",6,1,8,0,0
"309",6,1,9,0,0
"310",6,1,10,0,0
"311",6,2,1,36,10
"312",6,2,2,29.5,4.3
"313",6,2,3,32,3
"314",6,2,4,0,0
"315",6,2,5,0,0
"316",6,2,6,0,0
"317",6,2,7,0,0
"318",6,2,8,0,0
"319",6,2,9,0,0
"320",6,2,10,0,0
"321",6,3,1,37.5,4
"322",6,3,2,0,0
"323",6,3,3,0,0
"324",6,3,4,0,0
"325",6,3,5,0,0
"326",6,3,6,0,0
"327",6,3,7,0,0
"328",6,3,8,0,0
"329",6,3,9,0,0
"330",6,3,10,0,0
"331",6,4,1,47,8.5
"332",6,4,2,25.5,5.5
"333",6,4,3,0,0
"334",6,4,4,0,0
"335",6,4,5,0,0
"336",6,4,6,0,0
"337",6,4,7,0,0
"338",6,4,8,0,0
"339",6,4,9,0,0
"340",6,4,10,0,0
"341",6,5,1,28,7.5
"342",6,5,2,40,12
"343",6,5,3,0,0
"344",6,5,4,0,0
"345",6,5,5,0,0
"346",6,5,6,0,0
"347",6,5,7,0,0
"348",6,5,8,0,0
"349",6,5,9,0,0
"350",6,5,10,0,0
"351",6,6,1,25,2.5
"352",6,6,2,0,0
"353",6,6,3,0,0
"354",6,6,4,0,0
"355",6,6,5,0,0
"356",6,6,6,0,0
"357",6,6,7,0,0
"358",6,6,8,0,0
"359",6,6,9,0,0
"360",6,6,10,0,0
"361",6,7,1,0,0
"362",6,7,2,0,0
"363",6,7,3,0,0
"364",6,7,4,0,0
"365",6,7,5,0,0
"366",6,7,6,0,0
"367",6,7,7,0,0
"368",6,7,8,0,0
"369",6,7,9,0,0
"370",6,7,10,0,0
"371",6,8,1,29,2.5
"372",6,8,2,0,0
"373",6,8,3,0,0
"374",6,8,4,0,0
"375",6,8,5,0,0
"376",6,8,6,0,0
"377",6,8,7,0,0
"378",6,8,8,0,0
"379",6,8,9,0,0
"380",6,8,10,0,0
"381",6,9,1,34.5,3.2
"382",6,9,2,35,4.5
"383",6,9,3,37,4.5
"384",6,9,4,0,0
"385",6,9,5,0,0
"386",6,9,6,0,0
"387",6,9,7,0,0
"388",6,9,8,0,0
"389",6,9,9,0,0
"390",6,9,10,0,0
"391",6,10,1,47,4.5
"392",6,10,2,28,2.5
"393",6,10,3,0,0
"394",6,10,4,0,0
"395",6,10,5,0,0
"396",6,10,6,0,0
"397",6,10,7,0,0
"398",6,10,8,0,0
"399",6,10,9,0,0
"400",6,10,10,0,0
"401",8,1,1,0,0
"402",8,1,2,0,0
"403",8,1,3,0,0
"404",8,1,4,0,0
"405",8,1,5,0,0
"406",8,1,6,0,0
"407",8,1,7,0,0
"408",8,1,8,0,0
"409",8,1,9,0,0
"410",8,1,10,0,0
"411",8,2,1,0,0
"412",8,2,2,0,0
"413",8,2,3,0,0
"414",8,2,4,0,0
"415",8,2,5,0,0
"416",8,2,6,0,0
"417",8,2,7,0,0
"418",8,2,8,0,0
"419",8,2,9,0,0
"420",8,2,10,0,0
"421",8,3,1,0,0
"422",8,3,2,0,0
"423",8,3,3,0,0
"424",8,3,4,0,0
"425",8,3,5,0,0
"426",8,3,6,0,0
